sale_id,sale_date,amount,product
0,2024-01-19,289.64,Doohickey
1,2024-01-20,286.06,Thingamajig
2,2024-01-24,280.17,Doohickey
3,2024-01-24,117.5,Gadget
4,2024-01-20,152.25,Thingamajig
5,2024-01-18,144.42,Thingamajig
6,2024-01-16,185.65,Doohickey
7,2024-01-21,289.35,Widget
8,2024-01-16,191.98,Widget
9,2024-01-20,170.09,Widget
10,2024-01-21,137.72,Doohickey
11,2024-01-24,234.37,Widget
12,2024-01-19,136.63,Widget
13,2024-01-17,116.69,Thingamajig
14,2024-01-24,277.05,Widget
15,2024-01-16,110.26,Widget
16,2024-01-21,227.67,Thingamajig
17,2024-01-23,200.66,Thingamajig
18,2024-01-19,200.68,Doohickey
19,2024-01-17,212.48,Gadget
20,2024-01-21,194.83,Gadget
21,2024-01-21,172.63,Widget
22,2024-01-25,283.28,Widget
23,2024-01-18,278.17,Thingamajig
24,2024-01-19,259.47,Thingamajig
25,2024-01-24,124.86,Gadget
26,2024-01-25,234.72,Thingamajig
27,2024-01-21,184.15,Doohickey
28,2024-01-18,245.99,Gadget
29,2024-01-24,254.53,Gadget
30,2024-01-25,242.2,Thingamajig
31,2024-01-22,109.27,Widget
32,2024-01-20,188.28,Thingamajig
33,2024-01-19,147.62,Doohickey
34,2024-01-18,207.34,Doohickey
35,2024-01-19,127.74,Thingamajig
36,2024-01-23,121.0,Doohickey
37,2024-01-20,269.64,Thingamajig
38,2024-01-25,295.15,Gadget
39,2024-01-23,187.24,Thingamajig
40,2024-01-17,287.38,Thingamajig
41,2024-01-23,134.23,Gadget
42,2024-01-18,246.51,Thingamajig
43,2024-01-21,260.48,Thingamajig
44,2024-01-22,239.97,Thingamajig
45,2024-01-18,179.11,Thingamajig
46,2024-01-20,179.13,Widget
47,2024-01-21,225.03,Thingamajig
48,2024-01-24,220.05,Thingamajig
49,2024-01-22,288.57,Thingamajig
50,2024-01-22,285.58,Thingamajig
51,2024-01-18,248.43,Thingamajig
52,2024-01-22,257.15,Thingamajig
53,2024-01-25,298.22,Thingamajig
54,2024-01-18,107.51,Thingamajig
55,2024-01-24,144.29,Doohickey
56,2024-01-18,164.82,Doohickey
57,2024-01-19,170.19,Gadget
58,2024-01-20,116.86,Widget
59,2024-01-17,292.38,Widget
60,2024-01-19,280.48,Doohickey
61,2024-01-25,233.04,Gadget
62,2024-01-22,118.37,Thingamajig
63,2024-01-21,113.4,Thingamajig
64,2024-01-25,101.66,Gadget
65,2024-01-17,254.23,Thingamajig
66,2024-01-16,204.31,Widget
67,2024-01-21,103.67,Doohickey
68,2024-01-18,153.57,Gadget
69,2024-01-21,267.04,Widget
70,2024-01-17,266.82,Thingamajig
71,2024-01-19,205.59,Thingamajig
72,2024-01-20,132.32,Gadget
73,2024-01-20,271.25,Thingamajig
74,2024-01-24,144.57,Doohickey
75,2024-01-19,293.69,Gadget
76,2024-01-17,156.71,Widget
77,2024-01-24,210.62,Widget
78,2024-01-22,231.24,Doohickey
79,2024-01-20,157.55,Thingamajig
80,2024-01-25,299.41,Gadget
81,2024-01-23,274.21,Thingamajig
82,2024-01-22,289.18,Doohickey
83,2024-01-16,147.86,Gadget
84,2024-01-20,120.15,Doohickey
85,2024-01-24,124.18,Widget
86,2024-01-23,267.23,Thingamajig
87,2024-01-24,282.49,Thingamajig
88,2024-01-24,116.27,Gadget
89,2024-01-22,264.88,Gadget
90,2024-01-20,256.19,Doohickey
91,2024-01-20,185.62,Thingamajig
92,2024-01-23,166.68,Widget
93,2024-01-19,280.32,Doohickey
94,2024-01-24,164.61,Doohickey
95,2024-01-17,234.54,Gadget
96,2024-01-22,290.83,Doohickey
97,2024-01-18,236.82,Doohickey
98,2024-01-24,179.24,Widget
99,2024-01-16,294.52,Thingamajig
100,2024-01-21,237.42,Widget
101,2024-01-22,162.87,Gadget
102,2024-01-20,178.5,Gadget
103,2024-01-24,171.02,Gadget
104,2024-01-21,210.2,Widget
105,2024-01-21,196.72,Doohickey
106,2024-01-25,103.96,Doohickey
107,2024-01-21,254.42,Thingamajig
108,2024-01-25,191.2,Thingamajig
109,2024-01-18,161.57,Thingamajig
110,2024-01-20,200.37,Gadget
111,2024-01-19,196.53,Gadget
112,2024-01-19,201.46,Widget
113,2024-01-22,163.63,Widget
114,2024-01-25,299.96,Gadget
115,2024-01-25,179.54,Widget
116,2024-01-22,278.49,Widget
117,2024-01-23,270.11,Gadget
118,2024-01-23,235.16,Thingamajig
119,2024-01-16,118.47,Doohickey
120,2024-01-18,267.76,Gadget
121,2024-01-24,212.66,Doohickey
122,2024-01-23,165.34,Gadget
123,2024-01-18,136.19,Gadget
124,2024-01-18,124.68,Widget
125,2024-01-18,136.16,Thingamajig
126,2024-01-19,283.81,Gadget
127,2024-01-24,252.71,Widget
128,2024-01-19,140.05,Widget
129,2024-01-24,209.16,Doohickey
130,2024-01-17,180.25,Doohickey
131,2024-01-24,177.68,Thingamajig
132,2024-01-17,151.48,Gadget
133,2024-01-19,294.3,Doohickey
134,2024-01-24,184.93,Thingamajig
135,2024-01-25,273.56,Gadget
136,2024-01-23,204.83,Thingamajig
137,2024-01-19,134.21,Gadget
138,2024-01-17,215.96,Gadget
139,2024-01-18,241.09,Doohickey
140,2024-01-20,286.37,Thingamajig
141,2024-01-25,210.63,Widget
142,2024-01-24,200.93,Doohickey
143,2024-01-23,258.56,Widget
144,2024-01-20,215.84,Gadget
145,2024-01-24,113.36,Thingamajig
146,2024-01-19,114.76,Thingamajig
147,2024-01-17,254.22,Gadget
148,2024-01-19,281.66,Gadget
149,2024-01-20,297.42,Gadget
150,2024-01-24,160.77,Doohickey
151,2024-01-16,120.13,Widget
152,2024-01-20,215.5,Gadget
153,2024-01-20,121.41,Gadget
154,2024-01-24,189.63,Thingamajig
155,2024-01-25,299.36,Gadget
156,2024-01-16,206.53,Doohickey
157,2024-01-22,229.91,Doohickey
158,2024-01-25,224.2,Widget
159,2024-01-24,137.08,Doohickey
160,2024-01-22,105.81,Widget
161,2024-01-19,241.86,Widget
162,2024-01-22,147.12,Thingamajig
163,2024-01-21,249.74,Widget
164,2024-01-17,257.33,Gadget
165,2024-01-16,170.83,Widget
166,2024-01-24,152.03,Doohickey
167,2024-01-23,174.28,Gadget
168,2024-01-23,189.98,Thingamajig
169,2024-01-20,268.99,Widget
170,2024-01-17,129.04,Thingamajig
171,2024-01-16,150.68,Widget
172,2024-01-16,162.93,Widget
173,2024-01-20,248.86,Thingamajig
174,2024-01-21,269.37,Gadget
175,2024-01-25,282.59,Doohickey
176,2024-01-22,190.94,Widget
177,2024-01-16,160.56,Widget
178,2024-01-21,133.18,Gadget
179,2024-01-16,286.64,Doohickey
